id_post_wp=105,5,0.00,188.75
id_post_wp=114,3,0.00,308.80
id_post_wp=117,4,0.00,302.27
id_post_wp=120,25,0.00,228.31
id_post_wp=151,9,0.00,140.86
id_post_wp=154,6,0.00,166.34
id_post_wp=157,2,0.00,150.78
id_post_wp=160,6,0.00,127.55
id_post_wp=78,4,0.00,130.43
id_post_wp=84,2,0.00,227.10
land_uri=/pochopeni-toho-jak-funguje-proces-ziska,6,0.00,127.55
land_uri=/prakticky-pruvodce-zahajenim-zadosti-o-,2,0.00,150.78
land_uri=/praktinis-paraiskos-paskolai-gauti-vado,33,0.00,229.63
land_uri=/pruvodce-rychlym-podanim-zadosti-o-pujc,6,0.00,166.34
land_uri=/so-finden-und-beantragen-sie-den-passen,2,0.00,227.10
land_uri=/supraskite-kokiais-etapais-reikia-kreip,4,0.00,302.27
land_uri=/wie-funktioniert-ein-kredit-in-deutschl,4,0.00,130.43
land_uri=/zadost-o-pujcku-kde-zacit/,9,0.00,140.86
utm_campaign=521_SPLIT1_LT_EMP,3,0.00,308.80
utm_campaign=540_SPLIT2_LT_EMP,25,0.00,228.31
utm_campaign=542_SPLIT2_LT_EMP,5,0.00,188.75
utm_campaign=581_SPLIT2_CZ_EMP,4,0.00,121.10
utm_campaign=583_SPLIT2_CZ_EMP,2,0.00,170.10
utm_medium=SPLIT1_LT_EMP,3,0.00,308.80
utm_medium=SPLIT2_CZ_EMP,9,0.00,140.63
utm_medium=SPLIT2_LT_EMP,34,0.00,231.19
